Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-08 07:00,2024-07-08 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-10 07:00,2024-07-10 09:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-10 12:00,2024-07-10 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-11 07:00,2024-07-11 09:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-11 10:30,2024-07-11 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-12 07:00,2024-07-12 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-16 07:00,2024-07-16 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-17 07:00,2024-07-17 09:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-17 12:00,2024-07-17 12:30
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-17 14:00,2024-07-17 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-18 07:00,2024-07-18 09:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-18 10:30,2024-07-18 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-19 07:00,2024-07-19 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1101,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-08 07:00,2024-07-08 08:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-08 17:00,2024-07-08 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-09 07:00,2024-07-09 08:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-09 17:00,2024-07-09 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-10 07:00,2024-07-10 08:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-10 17:00,2024-07-10 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-11 07:00,2024-07-11 08:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-11 17:00,2024-07-11 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-12 07:00,2024-07-12 08:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-12 17:00,2024-07-12 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-16 07:00,2024-07-16 08:30
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-16 16:30,2024-07-16 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-17 07:00,2024-07-17 08:30
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-17 16:30,2024-07-17 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-18 07:00,2024-07-18 08:30
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-18 16:30,2024-07-18 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-19 07:00,2024-07-19 08:30
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-19 16:30,2024-07-19 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,1201,General,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-08 07:00,2024-07-08 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-09 07:00,2024-07-09 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-10 07:00,2024-07-10 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-11 07:00,2024-07-11 12:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-12 07:00,2024-07-12 08:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-12 17:00,2024-07-12 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-13 07:00,2024-07-13 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-14 07:00,2024-07-14 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-16 07:00,2024-07-16 09:00
UBCV,2023-2024,PHRM,Pharmaceutical Sciences Building,3208,General,2024-07-16 16:30,2024-07-16 22:00
