Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-15 07:00,2024-07-15 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-16 07:00,2024-07-16 13:30
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-16 15:30,2024-07-16 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-17 07:00,2024-07-17 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-18 07:00,2024-07-18 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-19 07:00,2024-07-19 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-20 07:00,2024-07-20 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-21 07:00,2024-07-21 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-22 07:00,2024-07-22 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-23 07:00,2024-07-23 13:30
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-23 15:30,2024-07-23 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-24 07:00,2024-07-24 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-25 07:00,2024-07-25 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-26 07:00,2024-07-26 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,MEDC,Medical Sciences Block C,18,Restricted,2024-07-28 07:00,2024-07-28 22:00
