Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-22 07:00,2024-07-22 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-23 07:00,2024-07-23 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-24 07:00,2024-07-24 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-25 07:00,2024-07-25 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-26 07:00,2024-07-26 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-27 07:00,2024-07-27 11:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-27 16:00,2024-07-27 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-29 07:00,2024-07-29 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-30 07:00,2024-07-30 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-07-31 07:00,2024-07-31 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-08-01 07:00,2024-08-01 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-08-02 07:00,2024-08-02 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-08-03 07:00,2024-08-03 11:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-08-03 16:00,2024-08-03 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",005,Restricted,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-22 07:00,2024-07-22 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-23 07:00,2024-07-23 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-24 07:00,2024-07-24 17:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-24 18:00,2024-07-24 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-25 07:00,2024-07-25 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-26 07:00,2024-07-26 17:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-26 18:00,2024-07-26 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-27 07:00,2024-07-27 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-28 07:00,2024-07-28 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-29 07:00,2024-07-29 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-30 07:00,2024-07-30 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-31 07:00,2024-07-31 17:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-07-31 18:00,2024-07-31 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-08-01 07:00,2024-08-01 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-08-02 07:00,2024-08-02 17:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-08-02 18:00,2024-08-02 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",008,Restricted,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-22 07:00,2024-07-22 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-23 07:00,2024-07-23 11:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-23 19:00,2024-07-23 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-24 07:00,2024-07-24 13:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-24 19:00,2024-07-24 22:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-25 07:00,2024-07-25 11:00
UBCV,2023-2024,ICCS,"Institute for Computing, Information and Cognitive Systems",011,Restricted,2024-07-25 19:00,2024-07-25 22:00
