Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-29 19:00,2024-07-29 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-29 17:00,2024-07-29 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-30 19:00,2024-07-30 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-30 17:00,2024-07-30 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-31 19:00,2024-07-31 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-07-31 17:00,2024-07-31 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-01 19:00,2024-08-01 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-01 17:00,2024-08-01 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-02 19:00,2024-08-02 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-02 17:00,2024-08-02 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-03 07:00,2024-08-03 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-04 07:00,2024-08-04 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-05 18:00,2024-08-05 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-06 18:00,2024-08-06 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-07 18:00,2024-08-07 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-08 18:00,2024-08-08 08:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-08 14:00,2024-08-08 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-09 18:00,2024-08-09 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2302,General,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,LIFE,UBC Life Building,2201,General,2024-07-29 07:00,2024-07-29 17:00
