Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-07-29 19:00,2024-07-29 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-07-30 19:00,2024-07-30 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-07-31 19:00,2024-07-31 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-01 19:00,2024-08-01 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-02 19:00,2024-08-02 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-03 19:00,2024-08-03 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-04 19:00,2024-08-04 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-05 19:00,2024-08-05 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-06 19:00,2024-08-06 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-07 19:00,2024-08-07 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-08 19:00,2024-08-08 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-09 19:00,2024-08-09 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-10 19:00,2024-08-10 22:00
UBCV,2023-2024,MCDN,Macdonald,164,Restricted,2024-08-11 19:00,2024-08-11 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-07-29 19:00,2024-07-29 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-07-30 19:00,2024-07-30 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-07-31 19:00,2024-07-31 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-01 19:00,2024-08-01 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-02 19:00,2024-08-02 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-03 19:00,2024-08-03 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-04 19:00,2024-08-04 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-05 19:00,2024-08-05 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-06 19:00,2024-08-06 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-07 19:00,2024-08-07 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-08 19:00,2024-08-08 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-09 19:00,2024-08-09 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-10 19:00,2024-08-10 22:00
UBCV,2023-2024,MCDN,Macdonald,158,Restricted,2024-08-11 19:00,2024-08-11 22:00
