Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-05 07:00,2024-08-05 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-05 12:00,2024-08-05 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-06 07:00,2024-08-06 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-06 13:00,2024-08-06 13:30
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-06 16:30,2024-08-06 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-07 07:00,2024-08-07 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-07 12:00,2024-08-07 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-08 07:00,2024-08-08 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-08 13:00,2024-08-08 13:30
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-08 16:30,2024-08-08 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-09 07:00,2024-08-09 10:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-09 12:00,2024-08-09 16:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-09 20:00,2024-08-09 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-10 07:00,2024-08-10 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-11 07:00,2024-08-11 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-12 07:00,2024-08-12 14:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-12 17:00,2024-08-12 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-13 07:00,2024-08-13 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-14 07:00,2024-08-14 09:30
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-14 10:00,2024-08-14 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-15 07:00,2024-08-15 22:00
UBCV,2023-2024,ESB,Earth Sciences Building,1012,General,2024-08-16 07:00,2024-08-16 22:00
