Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-01 07:00,2024-09-01 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-01 20:00,2024-09-01 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-02 07:00,2024-09-02 08:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-02 17:30,2024-09-02 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-03 07:00,2024-09-03 08:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-03 17:30,2024-09-03 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-04 07:00,2024-09-04 08:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-04 17:30,2024-09-04 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-05 07:00,2024-09-05 08:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-05 17:30,2024-09-05 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-06 07:00,2024-09-06 08:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-06 12:00,2024-09-06 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,3208,General,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-01 07:00,2024-09-01 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-01 20:00,2024-09-01 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-02 07:00,2024-09-02 10:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-02 13:00,2024-09-02 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-03 07:00,2024-09-03 07:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-03 17:00,2024-09-03 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-03 12:00,2024-09-03 12:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-03 17:30,2024-09-03 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-04 07:00,2024-09-04 10:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-05 07:00,2024-09-05 09:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-05 14:00,2024-09-05 13:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-05 16:00,2024-09-05 14:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-06 07:00,2024-09-06 10:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-06 17:30,2024-09-06 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1201,General,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-08-31 07:00,2024-08-31 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-01 07:00,2024-09-01 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-01 20:00,2024-09-01 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-02 07:00,2024-09-02 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-02 17:30,2024-09-02 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-03 07:00,2024-09-03 07:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-03 17:00,2024-09-03 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-03 12:00,2024-09-03 12:30
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-03 18:30,2024-09-03 22:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-04 07:00,2024-09-04 08:00
UBCV,2024-2025,PHRM,Pharmaceutical Sciences Building,1101,General,2024-09-04 17:00,2024-09-04 22:00
