Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-02 07:00,2024-09-02 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-02 11:00,2024-09-02 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-03 07:00,2024-09-03 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-03 12:30,2024-09-03 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-04 07:00,2024-09-04 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-04 11:00,2024-09-04 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-05 12:30,2024-09-05 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-06 07:00,2024-09-06 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-06 12:30,2024-09-06 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-09 07:00,2024-09-09 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-09 11:00,2024-09-09 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-10 07:00,2024-09-10 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-10 12:30,2024-09-10 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-11 07:00,2024-09-11 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-11 11:00,2024-09-11 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-11 17:00,2024-09-11 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-12 07:00,2024-09-12 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-12 12:30,2024-09-12 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-13 07:00,2024-09-13 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-13 12:30,2024-09-13 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-14 07:00,2024-09-14 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,202,Restricted,2024-09-15 07:00,2024-09-15 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-03 07:00,2024-09-03 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-03 12:30,2024-09-03 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-04 07:00,2024-09-04 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-04 12:30,2024-09-04 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-05 07:00,2024-09-05 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-05 12:30,2024-09-05 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-06 07:00,2024-09-06 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-09 07:00,2024-09-09 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-10 07:00,2024-09-10 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-10 12:30,2024-09-10 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-11 07:00,2024-09-11 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-11 12:30,2024-09-11 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-11 17:00,2024-09-11 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-12 07:00,2024-09-12 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-12 12:30,2024-09-12 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-13 07:00,2024-09-13 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-14 07:00,2024-09-14 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,309,Restricted,2024-09-15 07:00,2024-09-15 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-03 07:00,2024-09-03 11:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-03 12:30,2024-09-03 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-04 07:00,2024-09-04 10:30
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-04 12:30,2024-09-04 14:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-04 17:00,2024-09-04 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-05 07:00,2024-09-05 09:30
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-05 12:30,2024-09-05 22:00
UBCV,2024-2025,LASR,Frederic Lasserre,301,Restricted,2024-09-06 07:00,2024-09-06 11:00
