Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-02 07:00,2024-09-02 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-03 07:00,2024-09-03 14:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-03 17:00,2024-09-03 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-04 07:00,2024-09-04 15:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-04 18:00,2024-09-04 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-05 07:00,2024-09-05 14:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-05 17:00,2024-09-05 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-06 07:00,2024-09-06 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-07 07:00,2024-09-07 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-08 07:00,2024-09-08 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-09 07:00,2024-09-09 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-10 07:00,2024-09-10 14:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-10 17:00,2024-09-10 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-11 07:00,2024-09-11 15:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-11 18:00,2024-09-11 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-12 07:00,2024-09-12 14:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-12 17:00,2024-09-12 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-13 07:00,2024-09-13 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-14 07:00,2024-09-14 22:00
UBCV,2024-2025,TFS,Totem Field Studios,121,Restricted,2024-09-15 07:00,2024-09-15 22:00
