Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-09 07:00,2024-09-09 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-09 11:00,2024-09-09 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-09 15:30,2024-09-09 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-09 17:00,2024-09-09 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-10 07:00,2024-09-10 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-10 09:00,2024-09-10 09:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-10 18:30,2024-09-10 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-11 07:00,2024-09-11 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-11 11:00,2024-09-11 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-11 15:30,2024-09-11 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-11 17:00,2024-09-11 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-12 07:00,2024-09-12 09:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-12 18:30,2024-09-12 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-13 07:00,2024-09-13 09:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-13 13:00,2024-09-13 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-13 17:00,2024-09-13 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-14 07:00,2024-09-14 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-15 07:00,2024-09-15 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-16 07:00,2024-09-16 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-16 11:00,2024-09-16 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-16 15:30,2024-09-16 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-16 17:00,2024-09-16 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-17 07:00,2024-09-17 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-17 09:00,2024-09-17 09:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-17 18:30,2024-09-17 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-18 07:00,2024-09-18 08:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-18 11:00,2024-09-18 12:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-18 15:30,2024-09-18 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-18 17:00,2024-09-18 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-19 07:00,2024-09-19 09:30
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-19 18:30,2024-09-19 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-20 07:00,2024-09-20 09:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-20 15:30,2024-09-20 16:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-20 17:00,2024-09-20 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-21 07:00,2024-09-21 22:00
UBCV,2024-2025,FRDM,Friedman Building,153,General,2024-09-22 07:00,2024-09-22 22:00
