Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-16 07:00,2024-09-16 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-16 12:00,2024-09-16 12:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-16 17:00,2024-09-16 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-17 07:00,2024-09-17 09:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-17 18:30,2024-09-17 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-18 07:00,2024-09-18 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-18 12:00,2024-09-18 12:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-18 17:00,2024-09-18 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-19 07:00,2024-09-19 09:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-19 20:00,2024-09-19 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-20 07:00,2024-09-20 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-20 11:00,2024-09-20 14:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-20 15:00,2024-09-20 16:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-20 17:00,2024-09-20 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-21 07:00,2024-09-21 10:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-21 13:00,2024-09-21 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-22 07:00,2024-09-22 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-23 07:00,2024-09-23 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-23 12:00,2024-09-23 12:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-23 17:00,2024-09-23 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-24 07:00,2024-09-24 09:30
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-24 18:30,2024-09-24 22:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-25 07:00,2024-09-25 09:00
UBCV,2024-2025,BUCH,Buchanan,A101,General,2024-09-25 12:00,2024-09-25 12:30
