Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-23 07:00,2024-09-23 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-23 18:00,2024-09-23 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-24 07:00,2024-09-24 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-24 18:00,2024-09-24 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-25 07:00,2024-09-25 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-25 18:00,2024-09-25 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-26 07:00,2024-09-26 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-26 18:00,2024-09-26 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-27 07:00,2024-09-27 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-28 07:00,2024-09-28 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-29 07:00,2024-09-29 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-30 07:00,2024-09-30 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-09-30 18:00,2024-09-30 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-01 07:00,2024-10-01 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-01 18:00,2024-10-01 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-02 07:00,2024-10-02 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-02 18:00,2024-10-02 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-03 07:00,2024-10-03 14:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-03 18:00,2024-10-03 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-04 07:00,2024-10-04 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-05 07:00,2024-10-05 22:00
UBCV,2024-2025,CEML,Civil and Mechanical Engineering Laboratories,139,Restricted,2024-10-06 07:00,2024-10-06 22:00
