Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-23 07:00,2024-09-23 09:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-23 10:00,2024-09-23 11:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-23 15:00,2024-09-23 15:30
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-23 19:00,2024-09-23 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-24 07:00,2024-09-24 11:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-24 12:30,2024-09-24 16:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-24 17:00,2024-09-24 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-25 07:00,2024-09-25 10:30
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-25 11:30,2024-09-25 12:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-25 15:00,2024-09-25 15:30
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-25 17:00,2024-09-25 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-26 07:00,2024-09-26 10:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-26 14:00,2024-09-26 15:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-26 18:00,2024-09-26 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-27 07:00,2024-09-27 09:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-27 16:00,2024-09-27 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-28 07:00,2024-09-28 08:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-28 16:00,2024-09-28 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-29 07:00,2024-09-29 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-30 07:00,2024-09-30 09:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-30 10:00,2024-09-30 12:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-30 15:00,2024-09-30 15:30
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-09-30 19:00,2024-09-30 22:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-10-01 07:00,2024-10-01 08:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-10-01 09:00,2024-10-01 11:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-10-01 15:30,2024-10-01 16:00
UBCV,2024-2025,DMP,Hugh Dempster Pavilion,101,General,2024-10-01 17:00,2024-10-01 22:00
