Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-23 07:00,2024-09-23 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-24 07:00,2024-09-24 15:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-24 17:00,2024-09-24 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-25 07:00,2024-09-25 14:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-25 16:00,2024-09-25 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-26 07:00,2024-09-26 11:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-26 13:00,2024-09-26 16:30
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-26 18:30,2024-09-26 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-27 07:00,2024-09-27 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-28 07:00,2024-09-28 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-29 07:00,2024-09-29 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-09-30 07:00,2024-09-30 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-01 07:00,2024-10-01 15:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-01 17:00,2024-10-01 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-02 07:00,2024-10-02 14:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-02 16:00,2024-10-02 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-03 07:00,2024-10-03 11:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-03 13:00,2024-10-03 16:30
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-03 18:30,2024-10-03 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-04 07:00,2024-10-04 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-05 07:00,2024-10-05 22:00
UBCV,2024-2025,WESB,Wesbrook,301,Restricted,2024-10-06 07:00,2024-10-06 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-23 07:00,2024-09-23 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-24 07:00,2024-09-24 13:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-24 15:00,2024-09-24 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-25 07:00,2024-09-25 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-26 07:00,2024-09-26 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-27 07:00,2024-09-27 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-28 07:00,2024-09-28 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-29 07:00,2024-09-29 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-09-30 07:00,2024-09-30 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-01 07:00,2024-10-01 13:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-01 15:00,2024-10-01 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-02 07:00,2024-10-02 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-03 07:00,2024-10-03 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-04 07:00,2024-10-04 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-05 07:00,2024-10-05 22:00
UBCV,2024-2025,WESB,Wesbrook,302,Restricted,2024-10-06 07:00,2024-10-06 22:00
