Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-07 07:00,2024-10-07 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-07 12:00,2024-10-07 13:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-07 17:00,2024-10-07 18:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-07 21:00,2024-10-07 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-08 07:00,2024-10-08 10:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-08 12:00,2024-10-08 17:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-09 07:00,2024-10-09 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-09 12:00,2024-10-09 18:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-09 21:00,2024-10-09 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-10 07:00,2024-10-10 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-10 12:00,2024-10-10 14:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-10 17:00,2024-10-10 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-11 07:00,2024-10-11 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-11 12:00,2024-10-11 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-12 07:00,2024-10-12 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-13 07:00,2024-10-13 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-14 07:00,2024-10-14 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-14 12:00,2024-10-14 13:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-14 17:00,2024-10-14 18:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-14 21:00,2024-10-14 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-15 07:00,2024-10-15 10:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-15 12:00,2024-10-15 17:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-16 07:00,2024-10-16 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-16 12:00,2024-10-16 18:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-16 21:00,2024-10-16 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-17 07:00,2024-10-17 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-17 12:00,2024-10-17 14:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-17 17:00,2024-10-17 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-18 07:00,2024-10-18 09:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-18 12:00,2024-10-18 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-19 07:00,2024-10-19 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,104,Restricted,2024-10-20 07:00,2024-10-20 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,2,Restricted,2024-10-07 07:00,2024-10-07 22:00
UBCV,2024-2025,TFPB,Theatre-Film Production Building,2,Restricted,2024-10-08 07:00,2024-10-08 13:00
