Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-28 07:00,2024-10-28 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-28 12:30,2024-10-28 13:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-28 17:00,2024-10-28 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-29 07:00,2024-10-29 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-29 09:00,2024-10-29 09:30
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-29 14:00,2024-10-29 16:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-29 19:00,2024-10-29 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-30 07:00,2024-10-30 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-30 16:00,2024-10-30 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-31 07:00,2024-10-31 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-31 09:00,2024-10-31 09:30
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-10-31 17:00,2024-10-31 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-01 07:00,2024-11-01 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-01 12:00,2024-11-01 13:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-01 14:00,2024-11-01 16:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-01 17:00,2024-11-01 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-02 07:00,2024-11-02 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-03 07:00,2024-11-03 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-04 07:00,2024-11-04 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-04 12:30,2024-11-04 13:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-04 17:00,2024-11-04 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-05 07:00,2024-11-05 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-05 09:00,2024-11-05 09:30
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-05 14:00,2024-11-05 16:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-05 19:00,2024-11-05 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-06 07:00,2024-11-06 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-06 16:00,2024-11-06 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-07 07:00,2024-11-07 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-07 09:00,2024-11-07 09:30
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-07 17:00,2024-11-07 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-08 07:00,2024-11-08 08:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-08 12:00,2024-11-08 13:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-08 14:00,2024-11-08 16:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-08 17:00,2024-11-08 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-09 07:00,2024-11-09 22:00
UBCV,2024-2025,AERL,Aquatic Ecosystems Research Laboratory,120,General,2024-11-10 07:00,2024-11-10 22:00
