Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-18 07:00,2024-11-18 09:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-18 17:30,2024-11-18 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-19 07:00,2024-11-19 08:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-19 15:30,2024-11-19 16:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-19 20:30,2024-11-19 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-20 07:00,2024-11-20 09:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-20 16:00,2024-11-20 17:30
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-20 19:30,2024-11-20 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-21 07:00,2024-11-21 08:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-21 15:30,2024-11-21 16:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-21 21:00,2024-11-21 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-22 07:00,2024-11-22 09:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-22 16:00,2024-11-22 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-23 07:00,2024-11-23 08:30
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-23 17:00,2024-11-23 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-24 07:00,2024-11-24 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-25 07:00,2024-11-25 09:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-25 16:00,2024-11-25 17:30
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-25 19:00,2024-11-25 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-26 07:00,2024-11-26 08:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-26 15:30,2024-11-26 16:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-26 18:30,2024-11-26 22:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-27 07:00,2024-11-27 09:00
UBCV,2024-2025,CHBE,Chemical and Biological Engineering Building,101,General,2024-11-27 16:00,2024-11-27 22:00
