Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-13 07:00,2025-01-13 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-14 07:00,2025-01-14 11:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-14 13:00,2025-01-14 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-14 16:00,2025-01-14 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-15 07:00,2025-01-15 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-16 07:00,2025-01-16 11:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-16 13:00,2025-01-16 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-16 16:00,2025-01-16 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-17 07:00,2025-01-17 11:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-17 12:30,2025-01-17 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-17 17:00,2025-01-17 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-20 07:00,2025-01-20 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-21 07:00,2025-01-21 11:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-21 13:00,2025-01-21 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-21 16:00,2025-01-21 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-22 07:00,2025-01-22 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-23 07:00,2025-01-23 11:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-23 13:00,2025-01-23 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-23 16:00,2025-01-23 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-24 07:00,2025-01-24 11:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-24 12:30,2025-01-24 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-24 17:00,2025-01-24 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-25 07:00,2025-01-25 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,142,General,2025-01-26 07:00,2025-01-26 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-13 07:00,2025-01-13 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-14 07:00,2025-01-14 10:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-14 11:30,2025-01-14 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-14 17:00,2025-01-14 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-15 07:00,2025-01-15 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-16 07:00,2025-01-16 10:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-16 11:30,2025-01-16 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-17 07:00,2025-01-17 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-20 07:00,2025-01-20 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-21 07:00,2025-01-21 10:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-21 11:30,2025-01-21 14:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-21 17:00,2025-01-21 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-22 07:00,2025-01-22 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-23 07:00,2025-01-23 10:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-23 11:30,2025-01-23 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-24 07:00,2025-01-24 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-25 07:00,2025-01-25 22:00
UBCV,2024-2025,AUDX,Auditorium Annex,157,General,2025-01-26 07:00,2025-01-26 22:00
