Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-13 07:00,2025-01-13 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-13 16:00,2025-01-13 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-14 07:00,2025-01-14 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-15 07:00,2025-01-15 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-15 16:00,2025-01-15 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-16 07:00,2025-01-16 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-17 07:00,2025-01-17 13:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-17 16:00,2025-01-17 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-20 07:00,2025-01-20 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-20 16:00,2025-01-20 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-21 07:00,2025-01-21 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-22 07:00,2025-01-22 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-22 16:00,2025-01-22 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-23 07:00,2025-01-23 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-24 07:00,2025-01-24 13:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-24 16:00,2025-01-24 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-25 07:00,2025-01-25 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,101,Restricted,2025-01-26 07:00,2025-01-26 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-13 07:00,2025-01-13 09:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-13 12:00,2025-01-13 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-13 20:00,2025-01-13 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-14 07:00,2025-01-14 09:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-14 12:00,2025-01-14 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-14 20:00,2025-01-14 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-15 07:00,2025-01-15 09:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-15 12:00,2025-01-15 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-15 17:00,2025-01-15 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-16 07:00,2025-01-16 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-16 17:00,2025-01-16 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-17 07:00,2025-01-17 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-18 07:00,2025-01-18 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-19 07:00,2025-01-19 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-20 07:00,2025-01-20 09:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-20 12:00,2025-01-20 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-20 20:00,2025-01-20 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-21 07:00,2025-01-21 09:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-21 12:00,2025-01-21 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-21 20:00,2025-01-21 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-22 07:00,2025-01-22 09:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-22 12:00,2025-01-22 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-22 17:00,2025-01-22 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-23 07:00,2025-01-23 14:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-23 17:00,2025-01-23 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-24 07:00,2025-01-24 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-25 07:00,2025-01-25 22:00
UBCV,2024-2025,DSOM,Dorothy Somerset Studio,107,Restricted,2025-01-26 07:00,2025-01-26 22:00
