Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-05 07:00,2025-05-05 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-05 09:00,2025-05-05 14:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-05 17:00,2025-05-05 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-06 07:00,2025-05-06 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-07 07:00,2025-05-07 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-07 12:00,2025-05-07 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-08 07:00,2025-05-08 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-09 07:00,2025-05-09 08:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-09 11:00,2025-05-09 12:30
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-09 15:00,2025-05-09 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-10 07:00,2025-05-10 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-11 07:00,2025-05-11 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-12 07:00,2025-05-12 14:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-12 17:00,2025-05-12 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-13 07:00,2025-05-13 10:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-13 13:00,2025-05-13 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-14 07:00,2025-05-14 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-15 07:00,2025-05-15 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-16 07:00,2025-05-16 10:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-16 11:00,2025-05-16 12:30
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-16 16:30,2025-05-16 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-17 07:00,2025-05-17 12:30
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-17 16:30,2025-05-17 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,1,General,2025-05-18 07:00,2025-05-18 22:00
UBCV,2024-2025,IRC,P.A. Woodward Instructional Resources Centre,2,General,2025-05-05 07:00,2025-05-05 22:00
