Campus,Year,Building,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,ALRD,105,General,2024-03-18,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-03-25,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-03-18,12:30,14:00,LEC,SOCI-V,SOCI 310-W/202,SOCI 310-W,202,"Meadows, Craig"
UBCV,2023-2024,ALRD,105,General,2024-03-25,12:30,14:00,LEC,SOCI-V,SOCI 310-W/202,SOCI 310-W,202,"Meadows, Craig"
UBCV,2023-2024,ALRD,105,General,2024-03-18,14:00,15:30,WRB-ACTIVE,WRB_UBC,NORD 336 Exam  18-Mar-2024 14:00 - ALRD 105, , , 
UBCV,2023-2024,ALRD,105,General,2024-03-18,15:30,17:00,LEC,LAW-V,LAW 461-W/LEC/001, ,001,"Hutchison, Camden"
UBCV,2023-2024,ALRD,105,General,2024-03-25,15:30,17:00,LEC,LAW-V,LAW 461-W/LEC/001, ,001,"Hutchison, Camden"
UBCV,2023-2024,ALRD,105,General,2024-03-19,9:00,10:30,LEC,LAW-V,LAW 300-W/LEC/002,LAW 300-W,002,"Goold, Benjamin"
UBCV,2023-2024,ALRD,105,General,2024-03-26,9:00,10:30,LEC,LAW-V,LAW 300-W/LEC/002,LAW 300-W,002,"Goold, Benjamin"
UBCV,2023-2024,ALRD,105,General,2024-03-19,10:30,12:30,LEC,LAW-V,LAW 509-W/LEC/001, , ,"Flynn, Alexandra"
UBCV,2023-2024,ALRD,105,General,2024-03-26,10:30,12:30,LEC,LAW-V,LAW 509-W/LEC/001, , ,"Flynn, Alexandra"
UBCV,2023-2024,ALRD,105,General,2024-03-19,12:30,14:00,LEC,SOCI-V,SOCI 370-W/301,SOCI 370-W,301,"Greer, Kerry"
UBCV,2023-2024,ALRD,105,General,2024-03-26,12:30,14:00,LEC,SOCI-V,SOCI 370-W/301,SOCI 370-W,301,"Greer, Kerry"
UBCV,2023-2024,ALRD,105,General,2024-03-19,14:00,16:00,LEC,LAW-V,LAW 476-W/LEC/002, ,002,"Harris, Nikos"
UBCV,2023-2024,ALRD,105,General,2024-03-26,14:00,16:00,LEC,LAW-V,LAW 476-W/LEC/002, ,002,"Harris, Nikos"
UBCV,2023-2024,ALRD,105,General,2024-03-19,16:00,17:30,LEC,SOCI-V,SOCI 381-W/201,SOCI 381-W,201,"Berdahl, Jennifer"
UBCV,2023-2024,ALRD,105,General,2024-03-26,16:00,17:30,LEC,SOCI-V,SOCI 381-W/201,SOCI 381-W,201,"Berdahl, Jennifer"
UBCV,2023-2024,ALRD,105,General,2024-03-26,18:00,19:30,WRB-ACTIVE,WRB_UBC,Apply Yourself 26-Mar-2024 18:00 - ALRD 105, , , 
UBCV,2023-2024,ALRD,105,General,2024-03-20,12:30,14:00,LEC,SOCI-V,SOCI 310-W/202,SOCI 310-W,202,"Meadows, Craig"
UBCV,2023-2024,ALRD,105,General,2024-03-27,12:30,14:00,LEC,SOCI-V,SOCI 310-W/202,SOCI 310-W,202,"Meadows, Craig"
UBCV,2023-2024,ALRD,105,General,2024-03-20,15:30,17:00,LEC,LAW-V,LAW 461-W/LEC/001, ,001,"Hutchison, Camden"
UBCV,2023-2024,ALRD,105,General,2024-03-27,15:30,17:00,LEC,LAW-V,LAW 461-W/LEC/001, ,001,"Hutchison, Camden"
UBCV,2023-2024,ALRD,105,General,2024-03-20,9:30,11:00,LEC,LAW-V,LAW 271-W/LEC/002,LAW 271-W,002,"Dauvergne, Catherine"
UBCV,2023-2024,ALRD,105,General,2024-03-27,9:30,11:00,LEC,LAW-V,LAW 271-W/LEC/002,LAW 271-W,002,"Dauvergne, Catherine"
