Campus,Year,Building,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,ALRD,112,General,2023-12-11,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,112,General,2023-12-18,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,113,General,2023-12-11,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,113,General,2023-12-18,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,B101,General,2023-12-11,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,B101,General,2023-12-18,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,121,General,2023-12-11,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,121,General,2023-12-18,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,105,General,2023-12-11,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,105,General,2023-12-18,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Exams  Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): December 11, 2023-December 18, 2023) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,105,General,2024-04-22,7:00,22:00,WRB-ACTIVE,WRB_UBC,"23WT2 Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 22, 2024) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,121,General,2024-04-22,7:00,22:00,WRB-ACTIVE,WRB_UBC,"23WT2 Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 22, 2024) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,B101,General,2024-04-22,7:00,22:00,WRB-ACTIVE,WRB_UBC,"23WT2 Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 22, 2024) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,113,General,2024-04-22,7:00,22:00,WRB-ACTIVE,WRB_UBC,"23WT2 Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 22, 2024) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,112,General,2024-04-22,7:00,22:00,WRB-ACTIVE,WRB_UBC,"23WT2 Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 22, 2024) 7:00 - ALRD 105, ALRD 112, ALRD 113, ALRD 121, ALRD B101", , , 
UBCV,2023-2024,ALRD,105,General,2024-01-08,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-01-15,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-01-22,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-01-29,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-02-05,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-02-12,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
UBCV,2023-2024,ALRD,105,General,2024-02-26,8:30,11:30,LEC,LAW-V,LAW 590-W/LEC/003, , ,"Goulden, James"
