Campus,Year,Building,Room,RoomType,Start,End
UBCV,2023-2024,ALRD,105,General,2024-03-18 07:00,2024-03-18 08:30
UBCV,2023-2024,ALRD,105,General,2024-03-18 11:30,2024-03-18 12:30
UBCV,2023-2024,ALRD,105,General,2024-03-18 17:00,2024-03-18 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-19 07:00,2024-03-19 09:00
UBCV,2023-2024,ALRD,105,General,2024-03-19 17:30,2024-03-19 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-20 07:00,2024-03-20 09:30
UBCV,2023-2024,ALRD,105,General,2024-03-20 11:00,2024-03-20 11:30
UBCV,2023-2024,ALRD,105,General,2024-03-20 17:00,2024-03-20 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-21 07:00,2024-03-21 09:00
UBCV,2023-2024,ALRD,105,General,2024-03-21 20:30,2024-03-21 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-22 07:00,2024-03-22 09:30
UBCV,2023-2024,ALRD,105,General,2024-03-22 11:00,2024-03-22 11:30
UBCV,2023-2024,ALRD,105,General,2024-03-22 12:30,2024-03-22 13:30
UBCV,2023-2024,ALRD,105,General,2024-03-22 15:00,2024-03-22 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-23 07:00,2024-03-23 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-24 07:00,2024-03-24 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-25 07:00,2024-03-25 08:30
UBCV,2023-2024,ALRD,105,General,2024-03-25 11:30,2024-03-25 12:30
UBCV,2023-2024,ALRD,105,General,2024-03-25 14:00,2024-03-25 15:30
UBCV,2023-2024,ALRD,105,General,2024-03-25 17:00,2024-03-25 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-26 07:00,2024-03-26 09:00
UBCV,2023-2024,ALRD,105,General,2024-03-26 17:30,2024-03-26 18:00
UBCV,2023-2024,ALRD,105,General,2024-03-26 19:30,2024-03-26 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-27 07:00,2024-03-27 09:30
UBCV,2023-2024,ALRD,105,General,2024-03-27 11:00,2024-03-27 11:30
UBCV,2023-2024,ALRD,105,General,2024-03-27 17:00,2024-03-27 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-28 07:00,2024-03-28 09:00
UBCV,2023-2024,ALRD,105,General,2024-03-28 20:30,2024-03-28 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-29 07:00,2024-03-29 09:30
UBCV,2023-2024,ALRD,105,General,2024-03-29 11:00,2024-03-29 11:30
UBCV,2023-2024,ALRD,105,General,2024-03-29 12:30,2024-03-29 13:30
UBCV,2023-2024,ALRD,105,General,2024-03-29 15:00,2024-03-29 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-30 07:00,2024-03-30 08:00
UBCV,2023-2024,ALRD,105,General,2024-03-30 17:30,2024-03-30 22:00
UBCV,2023-2024,ALRD,105,General,2024-03-31 07:00,2024-03-31 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-18 07:00,2024-03-18 09:30
UBCV,2023-2024,ALRD,112,General,2024-03-18 12:30,2024-03-18 16:00
UBCV,2023-2024,ALRD,112,General,2024-03-18 17:00,2024-03-18 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-19 07:00,2024-03-19 12:30
UBCV,2023-2024,ALRD,112,General,2024-03-19 17:00,2024-03-19 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-20 07:00,2024-03-20 09:30
UBCV,2023-2024,ALRD,112,General,2024-03-20 12:30,2024-03-20 14:00
UBCV,2023-2024,ALRD,112,General,2024-03-20 17:00,2024-03-20 17:30
UBCV,2023-2024,ALRD,112,General,2024-03-20 19:00,2024-03-20 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-21 07:00,2024-03-21 09:30
UBCV,2023-2024,ALRD,112,General,2024-03-21 14:00,2024-03-21 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-22 07:00,2024-03-22 09:30
UBCV,2023-2024,ALRD,112,General,2024-03-22 12:30,2024-03-22 13:30
UBCV,2023-2024,ALRD,112,General,2024-03-22 15:30,2024-03-22 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-23 07:00,2024-03-23 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-24 07:00,2024-03-24 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-25 07:00,2024-03-25 09:30
UBCV,2023-2024,ALRD,112,General,2024-03-25 12:30,2024-03-25 16:00
UBCV,2023-2024,ALRD,112,General,2024-03-25 17:00,2024-03-25 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-26 07:00,2024-03-26 12:30
UBCV,2023-2024,ALRD,112,General,2024-03-26 17:00,2024-03-26 22:00
UBCV,2023-2024,ALRD,112,General,2024-03-27 07:00,2024-03-27 09:30
