Campus,Year,BuildingCode,BuildingName,Room,RoomType,Start,End
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-25 07:00,2024-03-25 08:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-25 08:30,2024-03-25 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-25 12:30,2024-03-25 15:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-25 15:30,2024-03-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 07:00,2024-03-26 09:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 09:00,2024-03-26 10:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 10:30,2024-03-26 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 12:30,2024-03-26 14:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 14:00,2024-03-26 16:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 16:00,2024-03-26 18:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-26 18:00,2024-03-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-27 07:00,2024-03-27 09:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-27 09:30,2024-03-27 11:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-27 11:30,2024-03-27 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-27 12:30,2024-03-27 14:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-27 14:00,2024-03-27 15:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-27 15:30,2024-03-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 07:00,2024-03-28 09:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 09:00,2024-03-28 10:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 10:30,2024-03-28 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 12:30,2024-03-28 14:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 14:00,2024-03-28 16:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 16:00,2024-03-28 17:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-28 17:30,2024-03-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-29 07:00,2024-03-29 09:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-29 09:30,2024-03-29 11:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-29 11:30,2024-03-29 13:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-29 13:30,2024-03-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-30 07:00,2024-03-30 08:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-30 08:00,2024-03-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-03-31 07:00,2024-03-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-01 07:00,2024-04-01 08:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-01 08:30,2024-04-01 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-01 12:30,2024-04-01 15:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-01 15:30,2024-04-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-02 07:00,2024-04-02 09:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-02 09:00,2024-04-02 10:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-02 10:30,2024-04-02 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-02 12:30,2024-04-02 14:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-02 14:00,2024-04-02 16:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-02 16:00,2024-04-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-03 07:00,2024-04-03 09:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-03 09:30,2024-04-03 11:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-03 11:30,2024-04-03 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-03 12:30,2024-04-03 14:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-03 14:00,2024-04-03 15:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-03 15:30,2024-04-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 07:00,2024-04-04 09:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 09:00,2024-04-04 10:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 10:30,2024-04-04 12:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 12:30,2024-04-04 14:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 14:00,2024-04-04 16:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 16:00,2024-04-04 17:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-04 17:30,2024-04-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-05 07:00,2024-04-05 09:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-05 09:30,2024-04-05 11:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-05 11:30,2024-04-05 13:30
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-05 13:30,2024-04-05 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-06 07:00,2024-04-06 22:00
UBCV,2023-2024,ALRD,Allard Hall,105,General,2024-04-07 07:00,2024-04-07 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-25 07:00,2024-03-25 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-25 09:30,2024-03-25 12:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-25 12:30,2024-03-25 16:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-25 16:00,2024-03-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-26 07:00,2024-03-26 12:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-26 12:30,2024-03-26 14:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-26 14:00,2024-03-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-27 07:00,2024-03-27 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-27 09:30,2024-03-27 12:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-27 12:30,2024-03-27 14:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-27 14:00,2024-03-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-28 07:00,2024-03-28 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-28 09:30,2024-03-28 12:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-28 12:30,2024-03-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-29 07:00,2024-03-29 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-29 09:30,2024-03-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-30 07:00,2024-03-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-03-31 07:00,2024-03-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-01 07:00,2024-04-01 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-01 09:30,2024-04-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-02 07:00,2024-04-02 12:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-02 12:30,2024-04-02 14:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-02 14:00,2024-04-02 17:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-02 17:00,2024-04-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-03 07:00,2024-04-03 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-03 09:30,2024-04-03 14:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-03 14:00,2024-04-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-04 07:00,2024-04-04 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-04 09:30,2024-04-04 12:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-04 12:30,2024-04-04 14:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-04 14:00,2024-04-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-05 07:00,2024-04-05 09:30
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-05 09:30,2024-04-05 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-06 07:00,2024-04-06 22:00
UBCV,2023-2024,ALRD,Allard Hall,112,General,2024-04-07 07:00,2024-04-07 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-25 07:00,2024-03-25 09:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-25 09:00,2024-03-25 11:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-25 11:00,2024-03-25 14:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-25 14:00,2024-03-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-26 07:00,2024-03-26 09:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-26 09:30,2024-03-26 12:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-26 12:30,2024-03-26 15:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-26 15:30,2024-03-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-27 07:00,2024-03-27 09:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-27 09:00,2024-03-27 11:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-27 11:00,2024-03-27 12:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-27 12:30,2024-03-27 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-28 07:00,2024-03-28 10:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-28 10:00,2024-03-28 15:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-28 15:30,2024-03-28 17:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-28 17:00,2024-03-28 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-29 07:00,2024-03-29 09:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-29 09:30,2024-03-29 13:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-29 13:30,2024-03-29 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-30 07:00,2024-03-30 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-03-31 07:00,2024-03-31 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-01 07:00,2024-04-01 09:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-01 09:00,2024-04-01 11:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-01 11:00,2024-04-01 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-02 07:00,2024-04-02 09:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-02 09:30,2024-04-02 15:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-02 15:30,2024-04-02 17:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-02 17:00,2024-04-02 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-03 07:00,2024-04-03 09:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-03 09:00,2024-04-03 11:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-03 11:00,2024-04-03 12:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-03 12:30,2024-04-03 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-04 07:00,2024-04-04 10:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-04 10:00,2024-04-04 12:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-04 12:30,2024-04-04 15:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-04 15:30,2024-04-04 17:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-04 17:00,2024-04-04 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-05 07:00,2024-04-05 09:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-05 09:30,2024-04-05 13:30
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-05 13:30,2024-04-05 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-06 07:00,2024-04-06 22:00
UBCV,2023-2024,ALRD,Allard Hall,B101,General,2024-04-07 07:00,2024-04-07 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-25 07:00,2024-03-25 09:30
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-25 09:30,2024-03-25 14:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-25 14:00,2024-03-25 18:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-25 18:00,2024-03-25 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-26 07:00,2024-03-26 09:30
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-26 09:30,2024-03-26 12:30
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-26 12:30,2024-03-26 15:30
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-26 15:30,2024-03-26 22:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-27 07:00,2024-03-27 09:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-27 09:00,2024-03-27 14:00
UBCV,2023-2024,ALRD,Allard Hall,113,General,2024-03-27 14:00,2024-03-27 18:00
