Campus,Year,Building,Room,RoomType,Start,End
UBCV,2023-2024,ALRD,112,General,2023-08-21 07:00,2023-08-21 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-22 07:00,2023-08-22 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-23 07:00,2023-08-23 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-24 07:00,2023-08-24 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-25 07:00,2023-08-25 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-26 07:00,2023-08-26 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-27 07:00,2023-08-27 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-28 07:00,2023-08-28 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-29 07:00,2023-08-29 08:00
UBCV,2023-2024,ALRD,112,General,2023-08-29 17:00,2023-08-29 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-30 07:00,2023-08-30 08:00
UBCV,2023-2024,ALRD,112,General,2023-08-30 17:00,2023-08-30 22:00
UBCV,2023-2024,ALRD,112,General,2023-08-31 07:00,2023-08-31 08:00
UBCV,2023-2024,ALRD,112,General,2023-08-31 17:00,2023-08-31 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-01 07:00,2023-09-01 08:00
UBCV,2023-2024,ALRD,112,General,2023-09-01 17:00,2023-09-01 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-02 07:00,2023-09-02 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-03 07:00,2023-09-03 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-04 07:00,2023-09-04 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-04 12:30,2023-09-04 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-05 07:00,2023-09-05 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-06 07:00,2023-09-06 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-06 12:30,2023-09-06 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-07 07:00,2023-09-07 11:00
UBCV,2023-2024,ALRD,112,General,2023-09-07 13:00,2023-09-07 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-08 07:00,2023-09-08 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-08 12:30,2023-09-08 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-09 07:00,2023-09-09 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-10 07:00,2023-09-10 09:00
UBCV,2023-2024,ALRD,112,General,2023-09-10 16:30,2023-09-10 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-11 07:00,2023-09-11 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-11 12:30,2023-09-11 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-12 07:00,2023-09-12 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-13 07:00,2023-09-13 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-13 12:30,2023-09-13 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-14 07:00,2023-09-14 11:00
UBCV,2023-2024,ALRD,112,General,2023-09-14 13:00,2023-09-14 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-15 07:00,2023-09-15 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-15 12:30,2023-09-15 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-16 07:00,2023-09-16 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-17 07:00,2023-09-17 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-18 07:00,2023-09-18 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-18 12:30,2023-09-18 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-19 07:00,2023-09-19 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-20 07:00,2023-09-20 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-20 12:30,2023-09-20 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-21 07:00,2023-09-21 11:00
UBCV,2023-2024,ALRD,112,General,2023-09-21 13:00,2023-09-21 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-22 07:00,2023-09-22 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-22 12:30,2023-09-22 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-23 07:00,2023-09-23 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-24 07:00,2023-09-24 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-25 07:00,2023-09-25 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-25 12:30,2023-09-25 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-26 07:00,2023-09-26 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-27 07:00,2023-09-27 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-27 12:30,2023-09-27 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-28 07:00,2023-09-28 11:00
UBCV,2023-2024,ALRD,112,General,2023-09-28 13:00,2023-09-28 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-29 07:00,2023-09-29 09:30
UBCV,2023-2024,ALRD,112,General,2023-09-29 12:30,2023-09-29 22:00
UBCV,2023-2024,ALRD,112,General,2023-09-30 07:00,2023-09-30 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-01 07:00,2023-10-01 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-02 07:00,2023-10-02 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-02 12:30,2023-10-02 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-03 07:00,2023-10-03 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-04 07:00,2023-10-04 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-04 12:30,2023-10-04 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-05 07:00,2023-10-05 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-05 13:00,2023-10-05 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-06 07:00,2023-10-06 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-06 12:30,2023-10-06 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-07 07:00,2023-10-07 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-08 07:00,2023-10-08 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-09 07:00,2023-10-09 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-09 12:30,2023-10-09 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-10 07:00,2023-10-10 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-11 07:00,2023-10-11 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-11 12:30,2023-10-11 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-12 07:00,2023-10-12 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-12 13:00,2023-10-12 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-13 07:00,2023-10-13 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-13 12:30,2023-10-13 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-14 07:00,2023-10-14 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-15 07:00,2023-10-15 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-16 07:00,2023-10-16 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-16 12:30,2023-10-16 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-17 07:00,2023-10-17 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-17 12:00,2023-10-17 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-18 07:00,2023-10-18 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-18 12:30,2023-10-18 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-19 07:00,2023-10-19 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-19 13:00,2023-10-19 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-20 07:00,2023-10-20 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-20 12:30,2023-10-20 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-21 07:00,2023-10-21 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-22 07:00,2023-10-22 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-23 07:00,2023-10-23 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-23 12:30,2023-10-23 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-24 07:00,2023-10-24 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-24 12:00,2023-10-24 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-25 07:00,2023-10-25 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-25 12:30,2023-10-25 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-26 07:00,2023-10-26 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-26 13:00,2023-10-26 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-27 07:00,2023-10-27 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-27 12:30,2023-10-27 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-28 07:00,2023-10-28 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-29 07:00,2023-10-29 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-30 07:00,2023-10-30 09:30
UBCV,2023-2024,ALRD,112,General,2023-10-30 12:30,2023-10-30 22:00
UBCV,2023-2024,ALRD,112,General,2023-10-31 07:00,2023-10-31 11:00
UBCV,2023-2024,ALRD,112,General,2023-10-31 12:00,2023-10-31 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-01 07:00,2023-11-01 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-01 12:30,2023-11-01 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-02 07:00,2023-11-02 11:00
UBCV,2023-2024,ALRD,112,General,2023-11-02 13:00,2023-11-02 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-03 07:00,2023-11-03 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-03 12:30,2023-11-03 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-04 07:00,2023-11-04 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-05 07:00,2023-11-05 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-06 07:00,2023-11-06 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-06 12:30,2023-11-06 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-07 07:00,2023-11-07 11:00
UBCV,2023-2024,ALRD,112,General,2023-11-07 12:00,2023-11-07 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-08 07:00,2023-11-08 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-08 12:30,2023-11-08 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-09 07:00,2023-11-09 11:00
UBCV,2023-2024,ALRD,112,General,2023-11-09 13:00,2023-11-09 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-10 07:00,2023-11-10 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-10 12:30,2023-11-10 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-11 07:00,2023-11-11 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-12 07:00,2023-11-12 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-13 07:00,2023-11-13 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-13 12:30,2023-11-13 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-14 07:00,2023-11-14 11:00
UBCV,2023-2024,ALRD,112,General,2023-11-14 12:00,2023-11-14 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-15 07:00,2023-11-15 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-15 12:30,2023-11-15 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-16 07:00,2023-11-16 11:00
UBCV,2023-2024,ALRD,112,General,2023-11-16 13:00,2023-11-16 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-17 07:00,2023-11-17 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-17 12:30,2023-11-17 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-18 07:00,2023-11-18 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-19 07:00,2023-11-19 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-20 07:00,2023-11-20 09:30
UBCV,2023-2024,ALRD,112,General,2023-11-20 12:30,2023-11-20 22:00
UBCV,2023-2024,ALRD,112,General,2023-11-21 07:00,2023-11-21 11:00
UBCV,2023-2024,ALRD,112,General,2023-11-21 12:00,2023-11-21 22:00
