Campus,Year,Building,Room,RoomType,Start,End
UBCV,2023-2024,SWNG,309,General,2023-08-21 07:00,2023-08-21 09:30
UBCV,2023-2024,SWNG,309,General,2023-08-21 12:00,2023-08-21 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-22 07:00,2023-08-22 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-22 18:00,2023-08-22 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-23 07:00,2023-08-23 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-23 18:00,2023-08-23 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-24 07:00,2023-08-24 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-24 18:00,2023-08-24 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-25 07:00,2023-08-25 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-25 18:00,2023-08-25 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-26 07:00,2023-08-26 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-26 18:00,2023-08-26 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-27 07:00,2023-08-27 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-27 18:00,2023-08-27 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-28 07:00,2023-08-28 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-28 18:00,2023-08-28 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-29 07:00,2023-08-29 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-29 18:00,2023-08-29 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-30 07:00,2023-08-30 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-30 18:00,2023-08-30 22:00
UBCV,2023-2024,SWNG,309,General,2023-08-31 07:00,2023-08-31 08:00
UBCV,2023-2024,SWNG,309,General,2023-08-31 18:00,2023-08-31 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-01 07:00,2023-09-01 08:00
UBCV,2023-2024,SWNG,309,General,2023-09-01 18:00,2023-09-01 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-02 07:00,2023-09-02 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-03 07:00,2023-09-03 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-04 07:00,2023-09-04 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-05 07:00,2023-09-05 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-05 11:00,2023-09-05 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-06 07:00,2023-09-06 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-06 11:30,2023-09-06 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-07 07:00,2023-09-07 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-07 11:00,2023-09-07 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-08 07:00,2023-09-08 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-08 11:30,2023-09-08 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-09 07:00,2023-09-09 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-10 07:00,2023-09-10 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-11 07:00,2023-09-11 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-12 07:00,2023-09-12 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-12 11:00,2023-09-12 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-13 07:00,2023-09-13 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-13 11:30,2023-09-13 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-14 07:00,2023-09-14 10:00
