Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,ICCS,005,Restricted,2025-01-14,11:00,12:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2G,CPSC_V 314-W,L2G, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-21,11:00,12:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2G,CPSC_V 314-W,L2G, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-14,17:00,19:00,WRB-ACTIVE,WRB_UBC,"CSSS Leetcode Tuesday (week(s): January 6, 2025-March 10, 2025) 17:00 - ICCS 005", , , 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-21,17:00,19:00,WRB-ACTIVE,WRB_UBC,"CSSS Leetcode Tuesday (week(s): January 6, 2025-March 10, 2025) 17:00 - ICCS 005", , , 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-15,12:00,13:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2C,CPSC_V 314-W,L2C, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-22,12:00,13:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2C,CPSC_V 314-W,L2C, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-15,13:00,14:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2E,CPSC_V 314-W,L2E, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-22,13:00,14:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2E,CPSC_V 314-W,L2E, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-15,15:00,16:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2B,CPSC_V 314-W,L2B, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-22,15:00,16:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2B,CPSC_V 314-W,L2B, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-15,17:00,19:00,LAB,CPSC-V,CPSC_V 221-W/LAB/L2P,CPSC_V 221-W,L2P, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-22,17:00,19:00,LAB,CPSC-V,CPSC_V 221-W/LAB/L2P,CPSC_V 221-W,L2P, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-16,11:00,12:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2F,CPSC_V 314-W,L2F, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-23,11:00,12:00,LAB,CPSC-V,CPSC_V 314-W/LAB/L2F,CPSC_V 314-W,L2F, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-16,14:30,15:30,LAB,CPSC-V,CPSC_V 314-W/LAB/L2A,CPSC_V 314-W,L2A, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-23,14:30,15:30,LAB,CPSC-V,CPSC_V 314-W/LAB/L2A,CPSC_V 314-W,L2A, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-16,15:30,16:30,LAB,CPSC-V,CPSC_V 314-W/LAB/L2D,CPSC_V 314-W,L2D, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-23,15:30,16:30,LAB,CPSC-V,CPSC_V 314-W/LAB/L2D,CPSC_V 314-W,L2D, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-17,11:00,12:00,DIS,CPSC-V,CPSC_V 103-W/DIS/T2P,CPSC_V 103-W,T2P, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-24,11:00,12:00,DIS,CPSC-V,CPSC_V 103-W/DIS/T2P,CPSC_V 103-W,T2P, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-17,16:00,17:00,DIS,CPSC-V,CPSC_V 103-W/DIS/T2V,CPSC_V 103-W,T2V, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-24,16:00,17:00,DIS,CPSC-V,CPSC_V 103-W/DIS/T2V,CPSC_V 103-W,T2V, 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-17,17:00,19:00,WRB-ACTIVE,WRB_UBC,"UBC CTF Friday (week(s): January 13, 2025-April 7, 2025) 17:00 - ICCS 005", , , 
UBCV,2024-2025,ICCS,005,Restricted,2025-01-24,17:00,19:00,WRB-ACTIVE,WRB_UBC,"UBC CTF Friday (week(s): January 13, 2025-April 7, 2025) 17:00 - ICCS 005", , , 
