Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,DMP,310,General,2025-05-05,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,301,General,2025-05-05,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,201,General,2025-05-05,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,101,General,2025-05-05,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,101,General,2025-05-12,11:00,13:00,LAB,CPSC-V,CPSC_V 221-S/LAB/L1D,CPSC_V 221-S,L1D, 
UBCV,2024-2025,DMP,310,General,2025-05-06,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,301,General,2025-05-06,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,201,General,2025-05-06,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,101,General,2025-05-06,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,101,General,2025-05-13,11:00,13:00,LAB,CPSC-V,CPSC_V 221-S/LAB/L1D,CPSC_V 221-S,L1D, 
UBCV,2024-2025,DMP,310,General,2025-05-07,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,301,General,2025-05-07,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,201,General,2025-05-07,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,101,General,2025-05-07,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
UBCV,2024-2025,DMP,101,General,2025-05-14,11:00,13:00,LAB,CPSC-V,CPSC_V 310-S/LAB/L0A,CPSC_V 310-S,L0A, 
UBCV,2024-2025,DMP,101,General,2025-05-14,13:00,15:00,LAB,CPSC-V,CPSC_V 310-S/LAB/L0B,CPSC_V 310-S,L0B, 
UBCV,2024-2025,DMP,101,General,2025-05-14,15:00,17:00,LAB,CPSC-V,CPSC_V 310-S/LAB/L0C,CPSC_V 310-S,L0C, 
UBCV,2024-2025,DMP,310,General,2025-05-08,7:00,22:00,WRB-ACTIVE,WRB_UBC,"Maintenance Mon, Tue, Wed, Thu, Fri, Sat, Sun (week(s): April 28, 2025-May 5, 2025) 7:00 - DMP 101, DMP 201, DMP 301, DMP 310", , , 
