Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2024-2025,ANSO,202,General,2024-11-11,10:00,11:00,DIS,SOCI-V,SOCI_V 102-W/DIS/A17,SOCI_V 102-W,A17, 
UBCV,2024-2025,ANSO,202,General,2024-11-18,10:00,11:00,DIS,SOCI-V,SOCI_V 102-W/DIS/A17,SOCI_V 102-W,A17, 
UBCV,2024-2025,ANSO,202,General,2024-11-11,11:00,12:00,DIS,SOCI-V,SOCI_V 100-W/DIS/D6A,SOCI_V 100-W,D6A, 
UBCV,2024-2025,ANSO,202,General,2024-11-18,11:00,12:00,DIS,SOCI-V,SOCI_V 100-W/DIS/D6A,SOCI_V 100-W,D6A, 
UBCV,2024-2025,ANSO,202,General,2024-11-12,9:00,10:00,DIS,SOCI-V,SOCI_V 102-W/DIS/I11,SOCI_V 102-W,I11, 
UBCV,2024-2025,ANSO,202,General,2024-11-19,9:00,10:00,DIS,SOCI-V,SOCI_V 102-W/DIS/I11,SOCI_V 102-W,I11, 
UBCV,2024-2025,ANSO,202,General,2024-11-12,11:00,12:00,DIS,SOCI-V,SOCI_V 101-W/DIS/I12,SOCI_V 101-W,I12, 
UBCV,2024-2025,ANSO,202,General,2024-11-19,11:00,12:00,DIS,SOCI-V,SOCI_V 101-W/DIS/I12,SOCI_V 101-W,I12, 
UBCV,2024-2025,ANSO,202,General,2024-11-12,13:30,16:00,WRB-ACTIVE,WRB_UBC,"P2C DG #1 Tuesday (week(s): September 9, 2024-December 2, 2024) 13:30 - ANSO 202", , , 
UBCV,2024-2025,ANSO,202,General,2024-11-19,13:30,16:00,WRB-ACTIVE,WRB_UBC,"P2C DG #1 Tuesday (week(s): September 9, 2024-December 2, 2024) 13:30 - ANSO 202", , , 
UBCV,2024-2025,ANSO,202,General,2024-11-12,16:00,17:00,DIS,SOCI-V,SOCI_V 100-W/DIS/D6C,SOCI_V 100-W,D6C, 
UBCV,2024-2025,ANSO,202,General,2024-11-19,16:00,17:00,DIS,SOCI-V,SOCI_V 100-W/DIS/D6C,SOCI_V 100-W,D6C, 
UBCV,2024-2025,ANSO,202,General,2024-11-13,10:00,11:00,DIS,SOCI-V,SOCI_V 102-W/DIS/A12,SOCI_V 102-W,A12, 
UBCV,2024-2025,ANSO,202,General,2024-11-20,10:00,11:00,DIS,SOCI-V,SOCI_V 102-W/DIS/A12,SOCI_V 102-W,A12, 
UBCV,2024-2025,ANSO,202,General,2024-11-13,14:00,15:00,DIS,SOCI-V,SOCI_V 101-W/DIS/D12,SOCI_V 101-W,D12, 
UBCV,2024-2025,ANSO,202,General,2024-11-20,14:00,15:00,DIS,SOCI-V,SOCI_V 101-W/DIS/D12,SOCI_V 101-W,D12, 
UBCV,2024-2025,ANSO,202,General,2024-11-13,16:00,17:00,DIS,SOCI-V,SOCI_V 101-W/DIS/G12,SOCI_V 101-W,G12, 
UBCV,2024-2025,ANSO,202,General,2024-11-20,16:00,17:00,DIS,SOCI-V,SOCI_V 101-W/DIS/G12,SOCI_V 101-W,G12, 
UBCV,2024-2025,ANSO,202,General,2024-11-14,11:00,12:00,DIS,SOCI-V,SOCI_V 101-W/DIS/E12,SOCI_V 101-W,E12, 
UBCV,2024-2025,ANSO,202,General,2024-11-21,11:00,12:00,DIS,SOCI-V,SOCI_V 101-W/DIS/E12,SOCI_V 101-W,E12, 
UBCV,2024-2025,ANSO,202,General,2024-11-14,13:00,14:00,DIS,SOCI-V,SOCI_V 101-W/DIS/E11,SOCI_V 101-W,E11, 
UBCV,2024-2025,ANSO,202,General,2024-11-21,13:00,14:00,DIS,SOCI-V,SOCI_V 101-W/DIS/E11,SOCI_V 101-W,E11, 
UBCV,2024-2025,ANSO,202,General,2024-11-14,14:00,15:00,DIS,SOCI-V,SOCI_V 101-W/DIS/F12,SOCI_V 101-W,F12, 
UBCV,2024-2025,ANSO,202,General,2024-11-21,14:00,15:00,DIS,SOCI-V,SOCI_V 101-W/DIS/F12,SOCI_V 101-W,F12, 
UBCV,2024-2025,ANSO,202,General,2024-11-14,16:00,17:00,DIS,SOCI-V,SOCI_V 100-W/DIS/D6D,SOCI_V 100-W,D6D, 
