Campus,Year,BuildingCode,Room,RoomType,Date,Start,End,BookingType,Department,Booking,Module,Section,Staff
UBCV,2023-2024,ANGU,037,General,2024-07-16,9:00,16:30,WRB-ACTIVE,WRB_UBC,"VSP 2024 Package K Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 - ANGU 037", , , 
UBCV,2023-2024,ANGU,037,General,2024-07-17,9:00,16:30,WRB-ACTIVE,WRB_UBC,"VSP 2024 Package K Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 - ANGU 037", , , 
UBCV,2023-2024,ANGU,037,General,2024-07-10,10:00,16:00,WRB-ACTIVE,WRB_UBC,"Online Global Wed, Thu (week(s): July 8, 2024) 10:00 - ANGU 037, ANGU 039", , , 
UBCV,2023-2024,ANGU,039,General,2024-07-10,10:00,16:00,WRB-ACTIVE,WRB_UBC,"Online Global Wed, Thu (week(s): July 8, 2024) 10:00 - ANGU 037, ANGU 039", , , 
UBCV,2023-2024,ANGU,037,General,2024-07-18,9:00,16:30,WRB-ACTIVE,WRB_UBC,"VSP 2024 Package K Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 - ANGU 037", , , 
UBCV,2023-2024,ANGU,037,General,2024-07-11,10:00,16:00,WRB-ACTIVE,WRB_UBC,"Online Global Wed, Thu (week(s): July 8, 2024) 10:00 - ANGU 037, ANGU 039", , , 
UBCV,2023-2024,ANGU,039,General,2024-07-11,10:00,16:00,WRB-ACTIVE,WRB_UBC,"Online Global Wed, Thu (week(s): July 8, 2024) 10:00 - ANGU 037, ANGU 039", , , 
UBCV,2023-2024,ANGU,037,General,2024-07-19,9:00,16:30,WRB-ACTIVE,WRB_UBC,"VSP 2024 Package K Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 - ANGU 037", , , 
UBCV,2023-2024,ANGU,039,General,2024-07-12,8:30,12:00,WRB-ACTIVE,WRB_UBC,"Online Global 12-Jul-2024 8:30 - ANGU 037, ANGU 039", , , 
UBCV,2023-2024,ANGU,037,General,2024-07-12,8:30,12:00,WRB-ACTIVE,WRB_UBC,"Online Global 12-Jul-2024 8:30 - ANGU 037, ANGU 039", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-15,7:00,18:00,WRB-ACTIVE,WRB_UBC,"Densmore Mon, Tue, Wed, Thu (week(s): July 15, 2024) 7:00 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-16,7:00,18:00,WRB-ACTIVE,WRB_UBC,"Densmore Mon, Tue, Wed, Thu (week(s): July 15, 2024) 7:00 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-17,7:00,18:00,WRB-ACTIVE,WRB_UBC,"Densmore Mon, Tue, Wed, Thu (week(s): July 15, 2024) 7:00 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-10,8:30,16:00,WRB-ACTIVE,WRB_UBC,"Online Global Wed, Thu (week(s): July 8, 2024) 8:30 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-18,7:00,18:00,WRB-ACTIVE,WRB_UBC,"Densmore Mon, Tue, Wed, Thu (week(s): July 15, 2024) 7:00 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-11,8:30,16:00,WRB-ACTIVE,WRB_UBC,"Online Global Wed, Thu (week(s): July 8, 2024) 8:30 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-12,8:30,12:00,WRB-ACTIVE,WRB_UBC,"Online Global Friday (week(s): July 8, 2024) 8:30 - ANGU 098", , , 
UBCV,2023-2024,ANGU,098,General,2024-07-20,8:00,20:00,WRB-ACTIVE,WRB_UBC,Initial SPARK 20-Jul-2024 8:00 - ANGU 098, , , 
UBCV,2023-2024,ANGU,332,General,2024-07-08,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,335,General,2024-07-08,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,434,General,2024-07-08,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,232,General,2024-07-08,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,432,General,2024-07-08,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,435,General,2024-07-08,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,332,General,2024-07-09,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,335,General,2024-07-09,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,434,General,2024-07-09,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,232,General,2024-07-09,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,432,General,2024-07-09,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,435,General,2024-07-09,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,332,General,2024-07-10,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,335,General,2024-07-10,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,434,General,2024-07-10,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,232,General,2024-07-10,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,432,General,2024-07-10,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,435,General,2024-07-10,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,332,General,2024-07-11,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,335,General,2024-07-11,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,434,General,2024-07-11,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,232,General,2024-07-11,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,432,General,2024-07-11,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,435,General,2024-07-11,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford Mon, Tue, Wed, Thu, Fri (week(s): July 8, 2024) 9:00 - ANGU 232, ANGU 332, ANGU 335, ANGU 432, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,335,General,2024-07-12,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford 12-Jul-2024 9:00 - ANGU 232, ANGU 332, ANGU 334, ANGU 335", , , 
UBCV,2023-2024,ANGU,334,General,2024-07-12,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford 12-Jul-2024 9:00 - ANGU 232, ANGU 332, ANGU 334, ANGU 335", , , 
UBCV,2023-2024,ANGU,332,General,2024-07-12,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford 12-Jul-2024 9:00 - ANGU 232, ANGU 332, ANGU 334, ANGU 335", , , 
UBCV,2023-2024,ANGU,232,General,2024-07-12,9:00,13:00,WRB-ACTIVE,WRB_UBC,"Oxford 12-Jul-2024 9:00 - ANGU 232, ANGU 332, ANGU 334, ANGU 335", , , 
UBCV,2023-2024,ANGU,435,General,2024-07-16,9:00,12:00,WRB-ACTIVE,WRB_UBC,"BUS JULY Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 -  ANGU 234,  ANGU 291, ANGU 295, ANGU 334, ANGU 335, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,434,General,2024-07-16,9:00,12:00,WRB-ACTIVE,WRB_UBC,"BUS JULY Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 -  ANGU 234,  ANGU 291, ANGU 295, ANGU 334, ANGU 335, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,335,General,2024-07-16,9:00,12:00,WRB-ACTIVE,WRB_UBC,"BUS JULY Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 -  ANGU 234,  ANGU 291, ANGU 295, ANGU 334, ANGU 335, ANGU 434, ANGU 435", , , 
UBCV,2023-2024,ANGU,334,General,2024-07-16,9:00,12:00,WRB-ACTIVE,WRB_UBC,"BUS JULY Tue, Wed, Thu, Fri (week(s): July 15, 2024) 9:00 -  ANGU 234,  ANGU 291, ANGU 295, ANGU 334, ANGU 335, ANGU 434, ANGU 435", , , 
